userId,carId
1,100
1,99
3,21
3,49
4,79
7,1
7,33
7,98
8,45
8,2
10,56
10,25
10,27
11,28
13,88
13,10
13,87
15,38
15,95
15,26
16,99
17,54
17,51
18,87
18,22
19,23
21,24
22,19
22,8
22,49
23,50
23,23
23,28
24,52
25,22
26,81
27,56
27,29
27,3
28,6
28,90
29,61
29,33
31,49
31,61
31,88
32,53
32,94
32,27
34,22
34,3
34,69
36,63
36,17
36,85
37,36
41,75
42,82
42,53
42,22
43,17
43,23
43,95
45,71
45,17
46,49
46,89
46,14
47,82
48,8
48,52
51,34
51,46
51,82
53,89
54,24
54,48
54,99
55,63
55,62
57,46
58,50
58,45
59,8
61,79
61,58
62,4
65,98
65,59
65,2
66,55
66,57
67,95
67,11
67,18
68,1
68,23
68,12
69,1
69,72
69,92
72,85
72,23
72,33
74,9
75,4
78,67
78,37
78,16
82,79
82,80
83,58
84,70
84,74
85,67
85,65
88,98
88,7
89,18
89,84
89,38
90,87
91,29
91,44
91,74
92,8
93,76
93,69
94,57
94,82
95,58
96,75
96,67
97,93
97,51
98,78
98,94
99,100
99,63
100,43
101,85
102,79
102,62
102,31
103,68
103,2
104,66
104,76
104,6
105,62
105,95
105,10
108,8
108,20
108,31
109,9
109,59
110,90
110,88
110,19
111,14
111,21
111,58
112,47
113,44
113,4
113,48
117,93
117,57
118,46
118,30
120,61
121,73
122,39
122,76
123,63
124,52
124,3
124,25
126,60
126,65
127,100
127,64
127,89
128,69
128,58
128,82
131,88
131,44
131,73
133,6
133,70
135,21
136,83
136,35
136,12
137,4
137,98
140,16
140,20
141,19
142,90
142,86
142,67
143,1
144,85
146,81
147,91
147,19
147,65
151,75
151,21
151,30
152,24
152,1
152,6
153,91
155,3
156,100
156,11
156,56
157,21
157,99
157,5
158,10
158,82
158,31
161,62
161,94
162,29
162,35
163,37
163,11
164,87
164,90
164,17
166,34
167,90
167,25
167,52
170,27
170,23
171,52
171,17
171,17
172,69
174,39
174,33
174,14
175,8
175,71
175,45
176,30
176,21
177,83
178,64
179,21
179,46
179,89
180,47
180,26
182,12
183,26
183,56
183,50
184,37
185,47
185,40
186,89
186,12
186,82
188,73
188,45
188,44
189,96
190,56
192,9
192,57
192,96
193,39
194,33
194,38
195,45
195,73
195,57
196,79
197,89
198,81
198,74
198,77
200,86
200,68
200,67
201,25
201,32
202,54
202,38
203,27
205,90
205,85
205,82
206,37
206,77
206,45
208,99
209,73
211,55
212,69
212,14
213,22
214,88
214,61
215,16
215,8
215,68
216,57
216,78
219,77
219,54
219,36
220,57
220,78
221,65
221,49
222,71
222,30
223,33
224,58
224,99
224,9
225,38
225,64
225,86
226,58
230,58
232,58
232,54
232,12
233,85
233,84
233,50
234,66
238,58
238,63
238,88
239,55
239,38
239,8
242,61
243,5
244,40
244,2
244,11
245,69
245,79
245,7
246,72
246,83
246,12
247,92
249,59
249,68
250,90
251,66
251,2
252,44
252,90
254,21
254,49
257,67
257,87
257,42
260,18
260,83
263,67
264,90
264,53
266,46
267,22
267,94
268,11
268,10
268,90
269,62
269,63
271,46
271,14
271,23
272,40
272,69
274,8
275,55
275,8
275,5
276,60
276,90
276,84
277,98
277,35
278,64
278,55
278,96
281,74
282,31
282,70
283,75
283,21
283,27
285,50
286,29
287,5
288,61
291,68
291,57
291,92
293,49
293,1
293,28
297,44
297,79
297,38
298,42
298,7
298,29
300,47
300,89
300,37
301,91
301,72
302,84
302,12
303,60
304,30
304,36
304,96
305,58
306,29
307,62
308,53
309,83
309,78
310,67
311,41
312,51
312,34
313,44
313,50
314,34
314,92
315,28
316,18
316,80
316,95
317,83
319,83
320,87
321,86
321,69
322,74
322,19
323,67
323,47
323,59
324,71
324,51
325,1
326,97
326,78
327,39
327,2
328,56
331,97
331,94
331,27
333,78
333,85
337,86
337,54
337,79
338,12
338,1
338,38
339,89
339,33
339,97
340,41
340,62
341,94
341,85
341,93
344,99
344,67
344,62
347,66
348,100
348,7
349,86
350,54
350,35
350,82
351,60
352,75
352,19
352,42
353,2
353,24
354,98
354,61
354,27
355,29
356,97
356,66
356,85
359,73
359,76
360,89
360,92
362,48
362,86
362,36
364,99
364,82
365,34
365,57
366,14
367,84
369,94
369,82
371,37
373,100
373,55
374,79
374,61
374,41
377,14
377,45
378,57
378,17
380,37
380,56
380,8
381,22
381,33
382,30
382,1
382,88
383,94
383,17
384,10
384,74
389,94
389,58
390,48
391,30
391,14
393,32
393,6
393,46
394,26
394,73
394,79
395,80
395,31
396,45
397,76
397,38
397,16
398,50
398,94
399,51
400,38
400,57
403,17
403,79
403,59
404,49
405,5
407,83
408,41
409,44
409,34
409,26
410,38
410,36
410,88
411,78
412,48
412,92
413,63
416,22
416,81
416,93
417,19
418,16
419,10
419,24
420,51
421,42
424,84
424,88
425,69
426,41
427,28
430,86
430,23
430,87
431,96
431,75
431,63
432,24
433,61
433,83
434,73
435,39
436,55
437,36
438,47
439,83
439,6
440,73
440,61
442,2
442,75
443,10
445,99
445,7
449,4
449,83
451,19
452,98
452,47
452,94
454,77
454,61
455,14
455,41
455,56
456,1
456,60
457,89
457,57
457,80
458,15
458,20
458,65
462,27
462,37
463,34
463,96
463,32
464,6
465,51
465,6
466,64
466,35
466,82
467,71
468,30
468,99
468,43
469,80
469,2
469,7
471,95
472,65
472,55
472,73
475,3
475,15
476,23
476,30
476,88
477,16
477,80
477,51
479,2
479,32
479,79
480,30
480,18
480,10
481,29
481,68
481,81
482,41
483,76
483,11
483,55
484,33
484,13
484,92
485,58
485,1
486,9
488,46
489,64
490,44
491,18
493,90
494,51
494,7
494,67
495,93
495,66
496,24
496,51
496,60
497,7
498,67
499,84
499,82
499,62
500,28
500,1
500,77